emisor;nombre_emisor;receptor;nombre_receptor;producto;color;tallas;codigo_producto;codigo_color;stock_inicial_receptor;stock_antes;aporte;stock_despues;cobertura_antes;cobertura_despues;url_foto
845;ECI XANADU;869;ECI ALCALA DE HENARES;261-DEFI;BUTTER M;TM, TS, TXS;1105706;1191;1;1.0;3.0;4.0;1;4;https://content.morgandetoi.fr/el-corte-ingles/1105706-1191-F.jpg
845;ECI XANADU;803;ECI SANCHINARRO;251-RCOCO.F;PRAIRIE M;T34, T36, T38, T40, T42;1103895;1213;4;4.0;6.0;10.0;1;3;#
1782;ECI CAMPO DE LAS NACIONES;803;ECI SANCHINARRO;251-RCOCO.F;PRAIRIE M;T34, T36, T38, T40, T42;1103895;1213;4;10.0;5.0;15.0;3;5;#
801;ECI PRECIADOS;806;ECI POZUELO;261-ROCHI;MARINE M;T34, T36, T38, T40, T42;1106919;987;2;2.0;5.0;7.0;1;4;https://content.morgandetoi.fr/el-corte-ingles/1106919-987-F.jpg
2020;ECI SALAMANCA;857;ECI VALLADOLID ZORRILLA;251-DALIKA;OFF WHITE M;TL, TM, TS, TXS;1103498;931;2;2.0;5.0;7.0;1;4;#
840;ECI BERCIAL;857;ECI VALLADOLID ZORRILLA;251-DALIKA;OFF WHITE M;TL, TM, TS;1103498;931;2;7.0;5.0;12.0;4;6;#
805;ECI SERRANO PRINCESA;857;ECI VALLADOLID ZORRILLA;251-DALIKA;OFF WHITE M;TL, TM, TXS;1103498;931;2;12.0;3.0;15.0;6;8;#
2020;ECI SALAMANCA;832;ECI MADRID GOYA;261-RODIOL;NOIR/IVOIRE;T36, T40;1105811;929;1;1.0;2.0;3.0;0;1;https://content.morgandetoi.fr/el-corte-ingles/1105811-929-F.jpg
2094;ECI SAN JOSÉ VALDERAS;805;ECI SERRANO PRINCESA;261-CALCI.F;OXYGENE M;T34, T36, T38, T40, T42;1104832;992;2;2.0;6.0;8.0;2;8;https://content.morgandetoi.fr/el-corte-ingles/1104832-992-F.jpg
806;ECI POZUELO;2020;ECI SALAMANCA;261-CALCI.F;OXYGENE M;T34, T36, T38, T40, T42;1104832;992;2;2.0;5.0;7.0;2;7;https://content.morgandetoi.fr/el-corte-ingles/1104832-992-F.jpg
845;ECI XANADU;2020;ECI SALAMANCA;261-CALCI.F;OXYGENE M;T40;1104832;992;2;7.0;1.0;8.0;7;8;https://content.morgandetoi.fr/el-corte-ingles/1104832-992-F.jpg
845;ECI XANADU;806;ECI POZUELO;261-CUBA.F;MULTICO;T36, T38, T40;1105814;900;1;1.0;3.0;4.0;1;4;https://content.morgandetoi.fr/el-corte-ingles/1105814-900-F.jpg
805;ECI SERRANO PRINCESA;869;ECI ALCALA DE HENARES;251-DIDOA;IVOIRE M;TL, TM, TS, TXS;101546;978;2;2.0;8.0;10.0;1;5;#
1782;ECI CAMPO DE LAS NACIONES;869;ECI ALCALA DE HENARES;251-DIDOA;IVOIRE M;TM, TS, TXS;101546;978;2;10.0;3.0;13.0;5;6;#
2020;ECI SALAMANCA;869;ECI ALCALA DE HENARES;251-DIDOA;IVOIRE M;TL, TM, TXS;101546;978;2;13.0;3.0;16.0;6;8;#
840;ECI BERCIAL;801;ECI PRECIADOS;251-DIDOA;IVOIRE M;TL, TM, TS, TXS;101546;978;3;3.0;8.0;11.0;2;6;#
801;ECI PRECIADOS;805;ECI SERRANO PRINCESA;261-DCRUISE;PRAIRIE M;TL, TM, TS, TXS;1105674;1213;1;1.0;5.0;6.0;1;6;https://content.morgandetoi.fr/el-corte-ingles/1105674-1213-F.jpg
2094;ECI SAN JOSÉ VALDERAS;845;ECI XANADU;261-DCRUISE;PRAIRIE M;TL, TM, TS, TXS;1105674;1213;2;2.0;5.0;7.0;2;7;https://content.morgandetoi.fr/el-corte-ingles/1105674-1213-F.jpg
832;ECI MADRID GOYA;2020;ECI SALAMANCA;261-DCRUISE;PRAIRIE M;TL, TM, TS, TXS;1105674;1213;3;3.0;4.0;7.0;3;7;https://content.morgandetoi.fr/el-corte-ingles/1105674-1213-F.jpg
1782;ECI CAMPO DE LAS NACIONES;806;ECI POZUELO;261-DCRUISE;PRAIRIE M;TL, TM, TS, TXS;1105674;1213;4;4.0;4.0;8.0;4;8;https://content.morgandetoi.fr/el-corte-ingles/1105674-1213-F.jpg
801;ECI PRECIADOS;805;ECI SERRANO PRINCESA;261-MTONIZA;OFF WHITE/NOIR;TL, TM, TS, TXS;1104899;930;2;2.0;6.0;8.0;2;8;https://content.morgandetoi.fr/el-corte-ingles/1104899-930-F.jpg
840;ECI BERCIAL;803;ECI SANCHINARRO;261-MTONIZA;OFF WHITE/NOIR;TL, TM, TS, TXS;1104899;930;4;4.0;4.0;8.0;4;8;https://content.morgandetoi.fr/el-corte-ingles/1104899-930-F.jpg
1782;ECI CAMPO DE LAS NACIONES;869;ECI ALCALA DE HENARES;261-DNAVY;MARINE/OFF WHITE;TM, TS, TXS;1105677;926;2;2.0;3.0;5.0;2;5;https://content.morgandetoi.fr/el-corte-ingles/1105677-926-F.jpg
832;ECI MADRID GOYA;801;ECI PRECIADOS;261-DSOLEIL;OFF WHITE M;TL, TM, TS, TXS;1105671;931;2;2.0;4.0;6.0;2;6;https://content.morgandetoi.fr/el-corte-ingles/1105671-931-F.jpg
2020;ECI SALAMANCA;803;ECI SANCHINARRO;261-DSOLEIL;OFF WHITE M;TL, TM, TS, TXS;1105671;931;4;4.0;4.0;8.0;4;8;https://content.morgandetoi.fr/el-corte-ingles/1105671-931-F.jpg
2020;ECI SALAMANCA;806;ECI POZUELO;251-RISSAL;NAVAL ACADEMY;T34, T36, T38, T40, T42;1102139;1200;3;3.0;5.0;8.0;3;8;#
805;ECI SERRANO PRINCESA;806;ECI POZUELO;251-DALBA;OFF WHITE M;TL, TS, TXS;1102198;931;3;3.0;3.0;6.0;3;6;#
2020;ECI SALAMANCA;806;ECI POZUELO;251-DALBA;OFF WHITE M;TS, TXS;1102198;931;3;6.0;2.0;8.0;6;8;#
832;ECI MADRID GOYA;845;ECI XANADU;251-DALBA;OFF WHITE M;TL, TM, TS, TXS;1102198;931;1;1.0;6.0;7.0;1;7;#
1782;ECI CAMPO DE LAS NACIONES;803;ECI SANCHINARRO;261-MINO;PALE BANANA;TL, TM, TS, TXS;1105697;1144;2;2.0;5.0;7.0;2;7;https://content.morgandetoi.fr/el-corte-ingles/1105697-1144-F.jpg
