TEMPORADA;COLLECTION;FAMILIA;CODEPRODUIT;CODECOLORIS;NOMPRODUIT;LIBCOLORISMODIFIE;CODEBARRES;CODEINTERNEARTICLE
E26;ESSENTIELS;T-shirt;1105842;1200;261-DAMA;NAVAL ACADEMY;3253634693309;634229
E26;ESSENTIELS;T-shirt;1105842;1200;261-DAMA;NAVAL ACADEMY;3253634693316;634230
E26;ESSENTIELS;T-shirt;1105842;1200;261-DAMA;NAVAL ACADEMY;3253634693323;634231
E26;ESSENTIELS;T-shirt;1107038;900;261-DESLE;MULTICO;3253634768298;642347
E26;ESSENTIELS;T-shirt;1107038;900;261-DESLE;MULTICO;3253634768304;642349
E26;ESSENTIELS;T-shirt;1107038;900;261-DESLE;MULTICO;3253634768311;642350
E26;ESSENTIELS;T-shirt;1107038;900;261-DESLE;MULTICO;3253634768328;642351
E26;ESSENTIELS;T-shirt;1107038;900;261-DESLE;MULTICO;3253634768335;642352
E26;ESSENTIELS;T-shirt;1107215;987;261-DHIVAL;MARINE M;3253634781136;643673
E26;ESSENTIELS;T-shirt;1107215;987;261-DHIVAL;MARINE M;3253634781181;643679
E26;ESSENTIELS;T-shirt;1107215;987;261-DHIVAL;MARINE M;3253634781198;643680
E26;ESSENTIELS;T-shirt;1107215;987;261-DHIVAL;MARINE M;3253634781204;643681
E26;ESSENTIELS;T-shirt;1107215;987;261-DHIVAL;MARINE M;3253634781211;643682
E26;MODE;Haut boutonné;1105802;979;261-OPA;NOIR M;3253634690445;633940
E26;MODE;Haut boutonné;1105802;979;261-OPA;NOIR M;3253634690452;633941
E26;MODE;Haut boutonné;1105802;979;261-OPA;NOIR M;3253634690469;633942
E26;MODE;Haut boutonné;1105802;979;261-OPA;NOIR M;3253634690476;633943
E26;MODE;Haut boutonné;1105802;979;261-OPA;NOIR M;3253634690483;633944
E26;MODE;Haut boutonné;1105802;979;261-OPA;NOIR M;3253634688312;633726
E26;ESSENTIELS;T-shirt;1102198;931;251-DALBA;OFF WHITE M;3253634679815;632857
E26;ESSENTIELS;T-shirt;1102198;931;251-DALBA;OFF WHITE M;3253634680095;632886
E26;ESSENTIELS;T-shirt;1102198;931;251-DALBA;OFF WHITE M;3253634680101;632887
E26;ESSENTIELS;T-shirt;1102198;931;251-DALBA;OFF WHITE M;3253634680118;632888
E26;ESSENTIELS;T-shirt;1102198;931;251-DALBA;OFF WHITE M;3253634680125;632889
E26;MODE;T-shirt;1105682;1023;261-DRED;MAGMA M;3253634681139;632991
E26;MODE;T-shirt;1105682;1023;261-DRED;MAGMA M;3253634681221;633001
E26;MODE;T-shirt;1105682;1023;261-DRED;MAGMA M;3253634681238;633002
E26;MODE;T-shirt;1105682;1023;261-DRED;MAGMA M;3253634681245;633003
E26;MODE;T-shirt;1105682;1023;261-DRED;MAGMA M;3253634681252;633004
E26;MODE;Robe/ combinaison;1106536;900;261-ROSET.F;MULTICO;3253634734590;638889
E26;MODE;Robe/ combinaison;1106536;900;261-ROSET.F;MULTICO;3253634734736;638904
E26;MODE;Robe/ combinaison;1106536;900;261-ROSET.F;MULTICO;3253634734743;638905
E26;MODE;Robe/ combinaison;1106536;900;261-ROSET.F;MULTICO;3253634734750;638906
E26;MODE;Robe/ combinaison;1106536;900;261-ROSET.F;MULTICO;3253634734774;638908
E26;MODE;Robe/ combinaison;1106536;900;261-ROSET.F;MULTICO;3253634734767;638907
E26;ESSENTIELS;T-shirt;1102614;979;252-DFLOWER;NOIR M;3253634490694;613111
E26;ESSENTIELS;T-shirt;1102614;979;252-DFLOWER;NOIR M;3253634490700;613112
E26;ESSENTIELS;T-shirt;1102614;979;252-DFLOWER;NOIR M;3253634490717;613113
E26;ESSENTIELS;T-shirt;1102614;979;252-DFLOWER;NOIR M;3253634490724;613114
E26;ESSENTIELS;T-shirt;1102614;979;252-DFLOWER;NOIR M;3253634490731;613115
E26;MODE;T-shirt;1105672;1166;261-DTAL;BUBBLE M;3253634680491;632926
E26;MODE;T-shirt;1105672;1166;261-DTAL;BUBBLE M;3253634680507;632927
E26;MODE;T-shirt;1105672;1166;261-DTAL;BUBBLE M;3253634680514;632928
E26;MODE;T-shirt;1105672;1166;261-DTAL;BUBBLE M;3253634680521;632929
E26;MODE;T-shirt;1105672;1166;261-DTAL;BUBBLE M;3253634679792;632855
E26;ESSENTIELS;T-shirt;1105842;1023;261-DAMA;MAGMA M;3253634692500;634148
